Код филиала;Название;Город;Адрес;Телефон;Сайт;Часы работы
135;Спортэксперт Outlet, Большая Покровская улица, 120;Санкт-Петербург;Санкт-Петербург, Большая Покровская улица, 120;+78120000135;https://example.ru/stores/135;пн-пт 10:00-22:00
115;Спортэксперт Outlet, проспект Мира, 19;Москва;Москва, проспект Мира, 19;+74950000115;https://example.ru/stores/115;пн-пт 10:00-22:00
121;Спортэксперт Outlet, проспект Мира, 47;Москва;Москва, проспект Мира, 47;+74950000121;https://example.ru/stores/121;пн-пт 10:00-22:00
131;Спортэксперт Outlet, ТРК Жемчужная Плаза;Санкт-Петербург;Санкт-Петербург, улица Профсоюзная, 111;+78120000131;https://example.ru/stores/131;пн-пт 10:00-22:00
179;Спортэксперт Outlet, ТРК Жемчужная Плаза;Воронеж;Воронеж, Тверская улица, 19;+74730000179;https://example.ru/stores/179;пн-пт 10:00-22:00
178;Спортэксперт Outlet, ТРК Жемчужная Плаза;Воронеж;Воронеж, проспект Мира, 36;+74730000178;https://example.ru/stores/178;пн-пт 10:00-22:00
183;Спортэксперт Outlet, ТРК Планета;Пермь;Пермь, проспект Ленина, 54;+73420000183;https://example.ru/stores/183;пн-пт 10:00-22:00
186;Спортэксперт Outlet, ТРЦ Галерея;Волгоград;Волгоград, улица Садовая, 47;+78440000186;https://example.ru/stores/186;пн-пт 10:00-22:00
999;Новый магазин из импорта;Тверь;Тверь, Советская улица, 5;+74822000000;;пн-вс 10:00-21:00
998;Магазин с ошибкой;;без города;не телефон;;
